City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Tual,ID,-5.6667,132.75,81.86,76,48,18.52,scattered clouds
190,Santa Cruz,BO,-17.8,-63.1667,72.86,88,40,5.75,scattered clouds
191,Moose Factory,CA,51.2585,-80.6094,39.2,93,90,5.75,overcast clouds
192,Livingston,GB,55.9029,-3.5226,50.25,78,0,4.34,clear sky
193,Ancud,CL,-41.8697,-73.8203,49.53,87,100,12.84,light rain
194,Marfino,RU,55.7028,37.3822,53.74,71,0,8.5,clear sky
195,Seoul,KR,37.5683,126.9778,70.21,68,20,10.33,few clouds
196,Rio Grande,BR,-32.035,-52.0986,51.94,87,5,10.11,moderate rain
197,Kungurtug,RU,50.5994,97.5228,68.36,37,92,2.28,overcast clouds
198,Kununurra,AU,-15.7667,128.7333,84.18,34,59,17.27,broken clouds
199,Kiunga,PG,-6.1219,141.2906,75.67,98,100,1.23,overcast clouds
200,Udachnyy,RU,66.4167,112.4,59.54,43,100,16.75,overcast clouds
201,Chuy,UY,-33.6971,-53.4616,51.69,74,20,8.28,few clouds
202,Kijang,KR,35.2442,129.2139,71.33,53,100,3.0,overcast clouds
203,Portland,US,45.5234,-122.6762,83.28,49,20,1.01,few clouds
204,Cockburn Town,TC,21.4612,-71.1419,79.9,81,15,20.02,few clouds
205,Arlit,NE,18.7369,7.3853,89.38,14,40,3.2,scattered clouds
206,Margate,GB,51.3813,1.3862,60.69,83,18,1.99,few clouds
207,Isangel,VU,-19.55,169.2667,80.71,69,75,12.88,broken clouds
208,Narsaq,GL,60.9167,-46.05,44.82,77,74,0.2,broken clouds
209,Luderitz,NA,-26.6481,15.1594,67.12,38,0,21.56,clear sky
210,Visnes,NO,59.3556,5.2242,62.65,51,100,5.75,overcast clouds
211,Rosarito,MX,32.3333,-117.0333,76.05,77,28,6.38,scattered clouds
212,Turkan,AZ,40.3639,50.215,72.05,60,0,18.66,clear sky
213,Khawhai,IN,23.3667,93.1167,67.28,91,44,1.39,scattered clouds
214,Nikolskoye,RU,59.7035,30.7861,52.39,79,20,4.29,few clouds
215,Solnechnyy,RU,50.7214,136.6319,52.11,99,100,5.64,overcast clouds
216,Dubbo,AU,-32.25,148.6167,55.53,82,90,13.8,overcast clouds
217,Tura,IN,25.5198,90.2201,81.3,81,2,5.53,clear sky
218,Mount Isa,AU,-20.7333,139.5,65.97,52,10,17.27,clear sky
219,Yulara,AU,-25.2406,130.9889,57.04,54,100,13.8,overcast clouds
220,Opuwo,NA,-18.0607,13.84,53.33,29,0,8.63,clear sky
221,Hovd,MN,48.0056,91.6419,73.56,30,13,0.4,few clouds
222,Daru,PG,-9.0763,143.2092,79.99,84,100,14.29,overcast clouds
223,Katangli,RU,51.7102,143.2326,46.22,89,100,13.15,light rain
224,Lorengau,PG,-2.0226,147.2712,85.01,68,60,2.39,broken clouds
225,Namibe,AO,-15.1961,12.1522,70.75,72,0,5.14,clear sky
226,Kirakira,SB,-10.4544,161.9205,83.7,76,98,6.51,overcast clouds
227,Geraldton,AU,-28.7667,114.6,57.61,77,0,14.23,clear sky
228,Buta,CD,2.7858,24.73,70.0,99,100,0.76,overcast clouds
229,San Vicente,AR,-26.6167,-54.1333,61.92,89,20,2.64,few clouds
230,Sorochinsk,RU,52.4338,53.1583,58.46,89,100,18.07,light rain
231,Ampanihy,MG,-24.7,44.75,64.62,88,28,6.35,scattered clouds
232,Ribeira Grande,PT,38.5167,-28.7,62.6,70,98,12.15,overcast clouds
233,Grand-Lahou,CI,5.1367,-5.0242,79.79,87,83,8.39,broken clouds
234,Brae,GB,60.3964,-1.353,51.71,94,71,13.31,broken clouds
235,Kaifeng,CN,34.7911,114.3483,81.46,15,0,13.76,clear sky
236,Ionia,US,42.9873,-85.0711,75.34,38,90,4.61,overcast clouds
237,Patea,NZ,-39.7583,174.4833,62.67,71,45,8.88,scattered clouds
238,Kruisfontein,ZA,-34.0033,24.7314,47.95,71,67,5.95,broken clouds
