City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Yumen,CN,2021-05-24 22:56:18,40.2833,97.2,59.79,15,100,3.53
179,Petrovsk-Zabaykalskiy,RU,2021-05-24 22:56:18,51.273,108.843,42.64,68,100,7.92
180,Sisimiut,GL,2021-05-24 22:55:41,66.9395,-53.6735,35.71,68,100,3.89
181,Kavieng,PG,2021-05-24 22:53:22,-2.5744,150.7967,80.82,86,99,10.13
182,Kodiak,US,2021-05-24 22:56:19,57.79,-152.4072,52.83,59,0,6.89
183,Tabuk,PH,2021-05-24 22:56:19,17.4189,121.4443,78.75,79,4,1.34
184,Haines Junction,CA,2021-05-24 22:56:19,60.7522,-137.5108,49.95,62,100,11.5
185,Kuching,MY,2021-05-24 22:56:20,1.55,110.3333,77.22,94,20,0.0
186,Victoria,HK,2021-05-24 22:53:23,22.2855,114.1577,86.97,86,64,1.01
187,Rio Cuarto,AR,2021-05-24 22:56:20,-33.1307,-64.3499,62.37,29,0,4.61
188,Barrow,US,2021-05-24 22:56:20,71.2906,-156.7887,31.64,91,93,9.51
189,Mahajanga,MG,2021-05-24 22:56:21,-15.7167,46.3167,71.62,94,40,4.61
190,Clyde River,CA,2021-05-24 22:56:21,70.4692,-68.5914,21.43,100,90,29.93
191,Bouna,CI,2021-05-24 22:56:21,9.2667,-3.0,79.61,71,67,8.79
192,Torbay,CA,2021-05-24 22:56:22,47.6666,-52.7314,36.27,64,90,13.8
193,Norman Wells,CA,2021-05-24 22:56:22,65.282,-126.8329,51.84,58,20,14.97
194,Hithadhoo,MV,2021-05-24 22:56:22,-0.6,73.0833,83.46,74,90,16.28
195,Ranfurly,NZ,2021-05-24 22:56:22,-45.1333,170.1,41.65,59,1,1.83
196,Solnechnyy,RU,2021-05-24 22:56:23,50.7214,136.6319,39.31,97,100,4.92
197,Cidreira,BR,2021-05-24 22:56:23,-30.1811,-50.2056,56.71,70,0,13.06
198,Prince Rupert,CA,2021-05-24 22:56:24,54.3161,-130.3201,55.49,71,90,8.05
199,Naze,JP,2021-05-24 22:52:22,28.3667,129.4833,72.52,74,91,5.61
200,Tomatlan,MX,2021-05-24 22:56:24,19.9333,-105.25,91.22,33,0,10.45
201,Malangwa,NP,2021-05-24 22:56:24,26.8568,85.5581,84.42,34,99,5.06
202,Satellite Beach,US,2021-05-24 22:56:24,28.1761,-80.5901,82.49,70,0,4.0
203,Hobyo,SO,2021-05-24 22:56:25,5.3505,48.5268,79.74,73,77,19.64
204,Lakselv,NO,2021-05-24 22:56:25,70.0513,24.9718,37.22,75,90,9.22
205,Tampere,FI,2021-05-24 22:56:25,61.4991,23.7871,39.7,89,0,2.68
206,Wufeng,CN,2021-05-24 22:56:26,27.45,104.8333,52.34,89,100,0.56
207,Yerbogachen,RU,2021-05-24 22:56:26,61.2767,108.0108,47.91,40,96,6.49
208,Port Lincoln,AU,2021-05-24 22:52:26,-34.7333,135.8667,57.45,70,42,28.16
209,Guerrero Negro,MX,2021-05-24 22:56:26,27.9769,-114.0611,72.16,52,2,16.08
210,Luganville,VU,2021-05-24 22:56:27,-15.5333,167.1667,77.13,73,96,11.12
211,Cyangugu,RW,2021-05-24 22:56:27,-2.4846,28.9075,58.5,97,68,1.19
212,La Ronge,CA,2021-05-24 22:52:25,55.1001,-105.2842,46.65,93,90,14.97
213,Kanchanaburi,TH,2021-05-24 22:56:27,14.6333,99.1,76.93,89,100,5.17
214,Geraldton,AU,2021-05-24 22:54:24,-28.7667,114.6,54.01,67,75,10.85
215,Bathsheba,BB,2021-05-24 22:52:26,13.2167,-59.5167,81.21,73,40,18.05
216,Severo-Kurilsk,RU,2021-05-24 22:56:28,50.6789,156.125,41.67,71,100,14.47
217,Abu Dhabi,AE,2021-05-24 22:51:39,24.4667,54.3667,91.51,60,0,2.46
218,Katherine,AU,2021-05-24 22:53:51,-14.4667,132.2667,71.92,75,86,8.03
219,Anadyr,RU,2021-05-24 22:56:28,64.75,177.4833,50.5,70,0,12.3
220,Ola,RU,2021-05-24 22:56:29,59.5833,151.2833,42.15,69,16,5.01
221,Great Bend,US,2021-05-24 22:56:29,38.3645,-98.7648,73.98,80,90,8.01
222,Pangnirtung,CA,2021-05-24 22:52:38,66.1451,-65.7125,26.6,74,90,8.05
223,Nuristan,AF,2021-05-24 22:55:52,35.3,70.8333,28.49,55,1,12.93
224,Hamilton,US,2021-05-24 22:55:16,39.1834,-84.5333,86.63,52,100,5.88
225,La Joya,MX,2021-05-24 22:56:30,18.6667,-99.4667,76.77,67,64,5.86
226,Monterey,US,2021-05-24 22:56:30,36.2505,-121.2516,87.71,20,8,15.95
227,Qandala,SO,2021-05-24 22:56:30,11.472,49.8728,86.27,65,2,3.83
228,Faya,SA,2021-05-24 22:56:31,18.3851,42.4509,68.11,36,41,1.54
229,Sorland,NO,2021-05-24 22:54:08,67.667,12.6934,43.07,75,26,15.17
230,Sola,VU,2021-05-24 22:54:16,-13.8833,167.55,78.42,76,96,21.45
231,Xiongzhou,CN,2021-05-24 22:54:21,25.1167,114.3,70.61,88,61,2.06
232,Kamwenge,UG,2021-05-24 22:56:31,0.1866,30.4539,60.89,97,11,0.89
233,Pavlodar,KZ,2021-05-24 22:56:31,52.3,76.95,58.8,51,0,4.56
234,Sinazongwe,ZM,2021-05-24 22:56:32,-17.2614,27.4618,63.18,57,0,1.9
235,Kahului,US,2021-05-24 22:54:08,20.8947,-156.47,84.94,78,21,8.99
236,Tiksi,RU,2021-05-24 22:56:32,71.6872,128.8694,36.59,78,82,6.55
237,Alofi,NU,2021-05-24 22:56:32,-19.0595,-169.9187,84.09,74,40,6.91
238,Portland,US,2021-05-24 22:55:40,45.5234,-122.6762,63.57,87,90,1.01
239,Thompson,CA,2021-05-24 22:51:50,55.7435,-97.8558,51.96,93,90,5.75
240,Kysyl-Syr,RU,2021-05-24 22:56:33,63.8986,122.7617,43.0,93,100,9.15
241,Santa Cruz,BO,2021-05-24 22:56:33,-17.8,-63.1667,68.05,45,20,6.91
242,Grindavik,IS,2021-05-24 22:56:34,63.8424,-22.4338,45.07,73,40,14.94
243,Mabaruma,GY,2021-05-24 22:53:03,8.2,-59.7833,76.42,83,74,4.72
244,Gazanjyk,TM,2021-05-24 22:56:34,39.2446,55.5154,78.91,45,80,7.14
245,Kramat,ID,2021-05-24 22:56:34,-8.1311,113.4499,74.43,93,88,1.88
246,Konstantinovka,RU,2021-05-24 22:56:35,49.6167,127.9833,51.49,52,28,7.96
247,Arraial Do Cabo,BR,2021-05-24 22:53:43,-22.9661,-42.0278,73.36,60,75,5.75
248,Port Keats,AU,2021-05-24 22:56:35,-14.25,129.55,74.61,55,65,7.11
249,Orotukan,RU,2021-05-24 22:56:35,62.2667,151.7,50.56,45,97,3.69
250,Khunti,IN,2021-05-24 22:56:36,23.0833,85.2833,80.71,40,100,6.89
251,Latung,PH,2021-05-24 22:56:36,5.5,120.8833,83.07,72,91,4.07
252,Bengkulu,ID,2021-05-24 22:53:33,-3.8004,102.2655,75.96,89,95,3.27
253,Kaputa,ZM,2021-05-24 22:56:36,-8.4689,29.6619,62.06,65,41,2.84
254,Pacific Grove,US,2021-05-24 22:56:37,36.6177,-121.9166,87.15,80,32,1.99
255,Bar Harbor,US,2021-05-24 22:56:37,44.3876,-68.2039,58.33,50,26,8.99
256,Sitka,US,2021-05-24 22:56:37,57.0531,-135.33,49.96,74,94,3.71
257,Mnogovershinnyy,RU,2021-05-24 22:56:38,53.9353,139.9242,32.34,95,100,7.63
258,San Quintin,MX,2021-05-24 22:56:38,30.4833,-115.95,68.9,61,3,15.39
259,Ponta Do Sol,PT,2021-05-24 22:56:38,32.6667,-17.1,68.0,81,42,5.48
260,Nikolskoye,RU,2021-05-24 22:56:38,59.7035,30.7861,50.4,87,26,4.68
261,Filadelfia,US,2021-05-24 22:55:54,39.9523,-75.1638,65.17,48,100,1.99
262,Mackenzie,CA,2021-05-24 22:56:39,55.2999,-123.1698,66.42,32,75,4.61
263,Walvis Bay,NA,2021-05-24 22:56:39,-22.9575,14.5053,71.1,37,39,7.85
264,Nioki,CD,2021-05-24 22:56:39,-2.7167,17.6833,72.99,91,39,1.48
265,Alihe,CN,2021-05-24 22:55:58,50.5667,123.7167,41.23,90,100,2.62
266,Tevaitoa,PF,2021-05-24 22:56:40,-16.7833,-151.5,81.27,76,100,12.26
267,Peace River,CA,2021-05-24 22:56:40,56.2501,-117.286,70.11,37,75,13.02
268,San Patricio,US,2021-05-24 22:56:40,28.017,-97.5169,84.02,72,44,14.9
